time,x,y
3.62,-2.569,-10.111
3.625,-2.5055,-10.123
3.63,-2.5408,-10.135
3.635,-2.616,-10.088
3.64,-2.4728,-10.245
3.645,-2.6146,-10.041
3.65,-2.5358,-10.175
3.655,-2.5408,-10.146
3.66,-2.5408,-10.129
3.665,-2.3422,-10.192
3.67,-2.3891,-10.17
3.675,-2.4874,-10.117
3.68,-2.5177,-10.164
3.685,-2.5922,-10.088
3.69,-2.5034,-10.03
3.695,-2.5387,-10.053
3.7,-2.554,-9.9367
3.705,-2.5071,-9.948
3.71,-2.5699,-9.8723
3.715,-2.5727,-9.9948
3.72,-2.5417,-9.9247
3.725,-2.611,-9.8612
3.73,-2.5323,-10.013
3.735,-2.5655,-9.9365
3.74,-2.5387,-10.059
3.745,-2.5091,-10.03
3.75,-2.5568,-10.059
3.755,-2.6254,-10
3.76,-2.5662,-9.9544
3.765,-2.5424,-9.9539
3.77,-2.5055,-10.129
3.775,-2.6109,-10.117
3.78,-2.5755,-10.123
3.785,-2.5748,-10.082
3.79,-2.5704,-10.147
3.795,-2.5408,-10.146
3.8,-2.5364,-10.222
3.805,-2.5422,-10.216
3.81,-2.5371,-10.234
3.815,-2.4735,-10.292
3.82,-2.5061,-10.175
3.825,-2.4677,-10.275
3.83,-2.5351,-10.141
3.835,-2.4504,-10.309
3.84,-2.4323,-10.286
3.845,-2.533,-10.064
3.85,-2.4606,-10.217
3.855,-2.4786,-10.245
3.86,-2.5133,-10.233
3.865,-2.5048,-10.105
3.87,-2.4606,-10.245
3.875,-1.8077,-10.112
3.88,-0.28676,-10.117
3.885,0.91448,-10.205
3.89,2.0686,-10.315
3.895,2.4779,-10.111
3.9,3.7652,-9.9948
3.905,4.924,-10.268
3.91,5.8149,-10.134
3.915,6.8467,-10.187
3.92,7.392,-10.49
3.925,7.5081,-10.437
3.93,7.7367,-10.496
3.935,7.7641,-10.361
3.94,8.0633,-10.467
3.945,8.1145,-10.361
3.95,8.2311,-10.344
3.955,8.1509,-10.455
3.96,8.109,-10.402
3.965,8.0105,-10.466
3.97,7.952,-10.449
3.975,8.0381,-10.321
3.98,8.0284,-10.484
3.985,8.052,-10.513
3.99,8.0164,-10.438
3.995,7.9644,-10.49
4,8.0218,-10.42
4.005,8.0567,-10.397
4.01,7.9862,-10.379
4.015,7.9683,-10.339
4.02,7.9276,-10.35
4.025,7.9393,-10.344
4.03,7.9644,-10.496
4.035,7.9516,-10.42
4.04,7.912,-10.513
4.045,7.8756,-10.403
4.05,7.8971,-10.251
4.055,7.9695,-10.437
4.06,7.9633,-10.403
4.065,7.8004,-10.455
4.07,7.9295,-10.508
4.075,7.7843,-10.583
4.08,7.8411,-10.438
4.085,7.8109,-10.367
4.09,7.7517,-10.275
4.095,7.7884,-10.42
4.1,7.7059,-10.362
4.105,7.7644,-10.39
4.11,7.7097,-10.175
4.115,7.7702,-10.379
4.12,7.7213,-10.181
4.125,7.7329,-10.169
4.13,7.6642,-10.292
4.135,7.7288,-10.321
4.14,7.9265,-10.268
4.145,7.6631,-10.187
4.15,7.7394,-10.228
4.155,7.75,-10.134
4.16,7.6241,-10.373
4.165,7.791,-10.157
4.17,7.6525,-10.292
4.175,7.7463,-10.327
4.18,7.6655,-10.403
4.185,7.6221,-10.164
4.19,7.7623,-10.193
4.195,7.6748,-10.187
4.2,7.6864,-10.175
4.205,7.738,-10.1
4.21,7.7808,-10.274
4.215,7.6819,-10.298
4.22,7.7227,-10.309
